판매수량
66.0
135.0
124.0
117.0
154.0
108.0
159.0
92.0
262.0
248.0
319.0
455.0
363.0
418.0
431.0
500.0
532.0
586.0
495.0
605.0
546.0
696.0
625.0
733.0
601.0
516.0
681.0
626.0
619.0
488.0
590.0
479.0
469.0
395.0
320.0
417.0
283.0
360.0
304.0
442.0
462.0
458.0
434.0
279.0
328.0
278.0
300.0
185.0
204.0
194.0
201.0
158.0
101.0
110.0
114.0
91.0
131.0
142.0
216.0
222.0
258.0
293.0
308.0
450.0
490.0
550.0
717.0
628.0
647.0
862.0
712.0
684.0
749.0
748.0
593.0
625.0
595.0
512.0
465.0
403.0
366.0
532.0
428.0
313.0
409.0
295.0
295.0
225.0
217.0
134.0
345.0
306.0
363.0
391.0
361.0
374.0
284.0
270.0
299.0
236.0
211.0
192.0
180.0
162.0
114.0
159.0
200.0
259.0
117.0
259.0
273.0
236.0
353.0
355.0
291.0
366.0
590.0
330.0
418.0
652.0
680.0
1030.0
662.0
763.0
1092.0
812.0
693.0
473.0
734.0
474.0
657.0
522.0
712.0
507.0
536.0
330.0
399.0
257.0
357.0
264.0
435.0
297.0
349.0
305.0
265.0
325.0
359.0
327.0
268.0
187.0
170.0
176.0
160.0
142.0
193.0
253.0
251.0
166.0
130.0
220.0
164.0
250.0
136.0
133.0
219.0
249.0
260.0
560.0
385.0
605.0
500.0
706.0
610.0
547.0
470.0
534.0
622.0
535.0
488.0
453.0
460.0
417.0
421.0
370.0
381.0
412.0
457.0
370.0
491.0
448.0
406.0
281.0
312.0
460.0
375.0
508.0
875.0
473.0
465.0
301.0
361.0
389.0
272.0
173.0
200.0
165.0
150.0
195.0
98.0
116.0
107.0
111.0
142.0
128.0
93.0
163.0
166.0
264.0
389.0
511.0
576.0
698.0
547.0
533.0
731.0
601.0
559.0
524.0
603.0
535.0
507.0
395.0
545.0
589.0
494.0
472.0
533.0
420.0
377.0
361.0
310.0
307.0
285.0
284.0
190.0
178.0
268.0
397.0
638.0
423.0
507.0
388.0
278.0
674.0
213.0
231.0
220.0
236.0
120.0
196.0
166.0
93.0
143.0
122.0
57.0
120.0
202.0
253.0
141.0
103.0
140.0
187.0
214.0
265.0
270.0
270.0
291.0
343.0
489.0
503.0
464.0
525.0
421.0
511.0
496.0
442.0
599.0
417.0
388.0
330.0
237.0
353.0
321.0
259.0
326.0
274.0
288.0
379.0
432.0
532.0
246.0
411.0
416.0
447.0
419.0
387.0
329.0
222.0
228.0
208.0
146.0
152.0
175.0
119.0
166.0
144.0
180.0
186.0
233.0
170.0
265.0
333.0
447.0
481.0
558.0
503.0
663.0
705.0
634.0
737.0
474.0
496.0
467.0
525.0
514.0
612.0
455.0
522.0
439.0
391.0
341.0
389.0
413.0
307.0
252.0
261.0
192.0
256.0
280.0
294.0
241.0
288.0
346.0
298.0
411.0
315.0
288.0
214.0
220.0
245.0
187.0
145.0
163.0
193.0
213.0
190.0
