,smape,smape_a,mae,R,train_smape,train_smape_a,train_mae,train_R
JK,52.79741023137019,26.398705115685097,89.19390106201172,-0.15395785319937083,5.88546694615844,2.94273347307922,5.454037189483643,0.9816828955620575
JP,52.03795447716347,26.018977238581734,47.498497009277344,0.5866141480839804,18.478389667097932,9.239194833548966,8.747506141662598,0.9788314500717976
BL,36.86271315354568,18.43135657677284,120.98514556884766,0.6433401464699028,14.366165841460989,7.183082920730494,31.223844528198242,0.980468102750762
VT,63.44608717698318,31.72304358849159,18.27644920349121,-0.9400177829949847,25.867402094944268,12.933701047472134,11.635110855102539,0.7022026281122145
SL,36.82857572115385,18.414287860576923,242.28579711914062,-0.9540625458725887,3.024471598825637,1.5122357994128186,15.92418384552002,0.9876307480277347
SK,41.83294677734375,20.916473388671875,38.16072082519531,-0.34312950133417774,17.972335912619428,8.986167956309714,4.527597427368164,0.915608187481161
OP,37.89403827373798,18.94701913686899,47.51219177246094,0.8119251765166784,8.015881580911625,4.007940790455812,7.995391845703125,0.9866218105615865
TC,164.8404822716346,82.4202411358173,10.518465042114258,-1.1923775466022724,82.40871317675159,41.204356588375795,0.48291483521461487,0.9909460417963579
CT,82.1219012920673,41.06095064603365,68.41096496582031,-1.283070949930723,5.233880109847731,2.6169400549238655,5.0907883644104,0.985709699258277
KT,31.185828575721157,15.592914287860578,98.02188873291016,-0.237198693963923,10.201626722979698,5.100813361489849,28.48341178894043,0.8922034062644724
KC,48.1012948843149,24.05064744215745,38.5842170715332,-0.38601612749051006,7.599853515625,3.7999267578125,4.388982772827148,0.9677116125295968
TS,42.00182635967548,21.00091317983774,178.99752807617188,-0.5944221382171833,4.282200904408838,2.141100452204419,10.182207107543945,0.9937536150752247
PD,74.77593994140625,37.387969970703125,50.31473922729492,0.8417619831693074,44.57428406150478,22.28714203075239,6.483704090118408,0.9933490313916167
