,smape,smape_a,mae,R,train_smape,train_smape_a,train_mae,train_R
JK,32.17786583533654,16.08893291766827,51.14284896850586,0.6030046426993142,12.946495284174423,6.473247642087212,11.421293258666992,0.9500500512203196
JP,46.13151198167068,23.06575599083534,38.65213394165039,0.725271454605113,15.639049868324351,7.8195249341621755,11.437288284301758,0.9211395436755838
BL,26.933746337890625,13.466873168945312,66.31372833251953,0.8863876189496485,5.608089344224645,2.8040446721123224,7.753637313842773,0.9964543992250604
VT,54.285221980168274,27.142610990084137,13.474536895751953,-0.058157856110571116,6.83132598144292,3.41566299072146,2.603649139404297,0.9712979003851394
SL,30.37672541691707,15.188362708458534,191.4557342529297,-0.3531027041994188,2.520948246493753,1.2604741232468766,15.601553916931152,0.9162421064508771
SK,36.06108914888822,18.03054457444411,34.12622833251953,-0.14695630417902383,24.182255940715336,12.091127970357668,3.7656173706054688,0.9200962940888285
OP,23.62855177659255,11.814275888296274,34.23060607910156,0.8617019027606727,8.913551491303283,4.456775745651641,11.265969276428223,0.9711977940163744
TC,131.5225548377404,65.7612774188702,4.893684387207031,0.3736828781750121,37.529294004164626,18.764647002082313,0.38358932733535767,0.9918429728333902
CT,79.45604529747597,39.72802264873798,37.99794006347656,0.3924071241699708,3.5770551353503186,1.7885275676751593,4.260240077972412,0.986003842447365
KT,28.606741098257213,14.303370549128607,96.54888153076172,-0.38758867775237116,9.72703140311122,4.86351570155561,28.852750778198242,0.9013047567332922
KC,29.990018404447117,14.995009202223558,22.720733642578125,0.4937398166744399,3.231923306589907,1.6159616532949534,1.9260982275009155,0.9689865415700728
TS,37.4639657827524,18.7319828913762,121.11009979248047,0.3436204916852309,3.171851554844439,1.5859257774222195,8.93393325805664,0.995550055622828
PD,89.27945650540866,44.63972825270433,62.75687026977539,0.7203958310076966,35.32983984566389,17.664919922831945,13.274097442626953,0.9704046518536193
